rank,team_id,team_slug,team_name,tier
920,13141,team-eien,"97

Team Eien

1,000",5
921,13142,simpliciter-maximus,"97

Simpliciter Maximus

1,000",5
922,13145,the-red-panda,"97

The Red Panda

1,000",5
923,13153,elite-squad,"97

Elite Squad

1,000",5
924,13154,cs-harks,"97

CS'harks

1,000",5
925,13160,lapou,"97

LAPOU

1,000",5
926,13162,foxgaming,"97

FoxGaming

1,000",5
927,13167,kobe-crew,"97

Kobe Crew

1,000",5
928,13174,team-logic-eagle,"97

Team Logic Eagle

1,000",5
929,13187,ladder-one,"97

Ladder One

1,000",5
930,13189,defiant-knights,"97

Defiant Knights

1,000",5
931,13190,team-of-masters,"97

Team of Masters

1,000",5
932,13205,wyzy,"97

WyZy

1,000",5
933,13206,calm-and-steady,"97

Calm And Steady

1,000",5
934,13207,because-we-can,"97

Because We Can

1,000",5
935,13212,redragon-cs,"97

Redragon.CS

1,000",5
936,13213,werewolf-team,"97

Werewolf Team

1,000",5
937,13220,russian-power,"97

RUSSIAN POWER

1,000",5
938,13222,makeshift-esports,"97

Makeshift eSports

1,000",5
939,13236,team-v-sion,"97

Team V!sioN

1,000",5
940,13238,kamane,"97

#KÄMÄNE

1,000",5
941,13240,dark-zone-esports-team,"97

Dark Zone eSports Team

1,000",5
942,13241,f1reflies,"97

F1reFlies

1,000",5
943,13244,redaxes,"97

REDAXES

1,000",5
944,13245,exsequor-gaming,"97

Exsequor Gaming

1,000",5
945,13246,sequence-gaming,"97

Sequence Gaming

1,000",5
946,13259,dlightful,"97

dlightful

1,000",5
947,13262,team-grantick,"97

Team Grantick

1,000",5
948,13266,bandits-ro,"97

Bandits RO

1,000",5
949,13270,anima-tronic,"97

Anima Tronic

1,000",5
950,13277,team-star-players,"97

Team Star Players

1,000",5
951,13282,pk-gaming-clan-a,"97

PK - Gaming clan (α)

1,000",5
952,13284,fortr3ss,"97

FORTR3SS

1,000",5
953,13287,team-anarchon,"97

Team Anarchon

1,000",5
954,13288,eternityx,"97

EternityX

1,000",5
955,13289,engineer-gaming,"97

Engineer Gaming

1,000",5
956,13291,team-cobalt,"97

Team Cobalt

1,000",5
957,13292,lptw,"97

LPTW

1,000",5
958,13293,nozone-team,"97

Nozone Team

1,000",5
959,13297,radiation-zon3,"97

Radiation Zon3

1,000",5
960,13301,team-ollie,"97

Team Ollie

1,000",5
961,13310,csol-team,"97

CSOL Team

1,000",5
962,13315,hellguardidans,"97

HellGuardidans

1,000",5
963,13319,faq-tbl,"97

Faq'Tbl

1,000",5
964,13321,flt-cs,"97

FLT.CS

1,000",5
965,13325,macaquinhos-esports,"97

Macaquinhos eSports

1,000",5
966,13327,venum,"97

Venum

1,000",5
967,13333,vandor-gaming,"97

Vandor Gaming

1,000",5
968,13334,getsalty,"97

GetSalty

1,000",5
969,13352,spotermin,"97

Spotermin

1,000",5
970,13354,crisis-response-division,"97

Crisis response Division

1,000",5
971,13355,moment-22,"97

Moment 22

1,000",5
972,13359,xempt,"97

Xempt

1,000",5
973,13363,toxicjuniors,"97

ToxicJuniors

1,000",5
974,13368,team-impartial,"97

Team Impartial

1,000",5
975,13373,in-the-game,"97

in The Game

1,000",5
976,13374,team-nolife,"97

Team NoLife

1,000",5
977,13375,delphi-network,"97

Delphi Network

1,000",5
978,13376,hell-skill,"97

Hell Skill

1,000",5
979,13385,revolution-dreamz,"97

Revolution Dreamz

1,000",5
980,13386,napoleon-esports,"97

Napoleon eSports

1,000",5
981,13393,wolves-counter-hurricane,"97

Wolves Counter Hurricane

1,000",5
982,13394,useless-souls,"97

Useless Souls

1,000",5
983,13395,obverse-cs,"97

Obverse.CS

1,000",5
984,13398,team-btf,"97

Team BTF

1,000",5
985,13399,playrpl,"97

playRPL

1,000",5
986,13400,beshock-gang,"97

BESHOCK GANG

1,000",5
987,13402,hyperkill,"97

HyperKill

1,000",5
988,13406,juans-boosting-service,"97

Juans Boosting Service

1,000",5
989,13408,fynixgaming,"97

FynixGaming

1,000",5
990,13412,mufmentszfecja,"97

MufmentSzfecja

1,000",5
991,13413,sinofi,"97

Sinofi

1,000",5
992,13415,veqtor,"97

Veqtor

1,000",5
993,13418,dynamic-symmetry,"97

Dynamic Symmetry

1,000",5
994,13419,tardz,"97

TARDZ

1,000",5
995,13421,team-blue,"97

Team Blue

1,000",5
996,13424,nebula-eu,"97

Nebula.EU

1,000",5
997,13426,black-ninja-squad,"97

.Black.Ninja.Squad.

1,000",5
998,13428,barricade,"97

Barricade

1,000",5
999,13429,pyromaniac,"97

PyroManiac

1,000",5
1000,13430,glorygames,"97

GloryGames

1,000",5
1001,13431,deamonbeavers,"97

DeamonBeavers

1,000",5
1002,13439,team-vulcany,"97

Team Vulcany

1,000",5
1003,13443,sonorous,"97

SoNorouS

1,000",5
1004,13445,shadowburners,"97

shadowburners

1,000",5
1005,13452,teammidget,"97

TeamMidget

1,000",5
1006,13466,astounding-cs,"97

Astounding.CS

1,000",5
1007,13468,maximum-hype,"97

Maximum Hype

1,000",5
1008,13473,axios,"97

Áxios

1,000",5
1009,13474,sgsb,"97

SGSB

1,000",5
1010,13475,boys-in-suits,"97

Boys in Suits

1,000",5
1011,13483,angels-of-insanity,"97

Angels of Insanity

1,000",5
1012,13502,killer-rat,"97

Killer Rat

1,000",5
1013,13504,badgerers,"97

Badgerers

1,000",5
1014,13509,squash-gaming-team,"97

Squash Gaming Team

1,000",5
1015,13520,united5,"97

United5.

1,000",5
1016,13523,otawa-aimers,"97

*OtaWa//Aimers

1,000",5
1017,13526,mystic-gg,"97

Mystic.gg

1,000",5
1018,13527,krigarna,"97

Krigarna

1,000",5
1019,13528,syndicate-esport,"97

Syndicate eSport

1,000",5
1020,13529,prosmokes,"97

prosmokes

1,000",5
1021,13531,astana-dragons-cs-go-official,"97

Astana Dragons CS:GO Official

1,000",5
1022,13534,lionheart-esports,"97

Lionheart eSports

1,000",5
1023,13536,zyper-sh0t,"97

ZypeR_Sh0t

1,000",5
1024,13537,thecrackypizzas,"97

TheCrackyPizzas

1,000",5
1025,13549,rampage-syndicate,"97

Rampage Syndicate

1,000",5
1026,13550,tribeat-esports,"97

TriBeat eSports

1,000",5
1027,13551,zebra-leg-beggers,"97

Zebra Leg Beggers

1,000",5
1028,13552,team-full-rush,"97

Team Full Rush

1,000",5
1029,13556,rosik-gaming,"97

RosiK Gaming

1,000",5
1030,13569,hyper-pro,"97

Hyper-Pro

1,000",5
1031,13571,dicktators,"97

Dicktators

1,000",5
1032,13572,tge,"97

TGE

1,000",5
1033,13575,ahead-inc-gaming,"97

Ahead.inc Gaming

1,000",5
1034,13581,les,"97

Les

1,000",5
1035,13589,uniquity,"97

Uniquity

1,000",5
1036,13590,dk-eagles,"97

Dk-Eagles

1,000",5
1037,13591,corrupt5,"97

Corrupt5

1,000",5
1038,13593,energetic-tryact,"97

Energetic Tryact

1,000",5
