rank,team_id,team,,tier,hltv_id,slug
9999,9494,bravado,,5,5158,bravado
9999,29346,team-australia,,5,,
9999,33960,legion,,5,,
9999,38576,0to100,,5,,
9999,40448,mouz-nxt,,5,,
9999,46523,xravel,,5,,
9999,51754,adalyamigos,,5,,
9999,53343,dms,,5,,
9999,53818,myskill,,5,,
9999,53904,one-hit-wonders,,5,,
9999,55136,truck-drivers,,5,,
9999,55415,blahaj,,5,,
9999,55452,all-or-nothing,,5,,
9999,55618,shika,,5,,
9999,55866,desemprego,,5,,
9999,55921,flat-earth,,5,,
9999,55929,dotstats,,5,,
9999,55967,informmix,,5,,
9999,56382,28avgage,,5,,
9999,56386,hassle-x-cskejsaren,,5,,
9999,56416,oxingame-esport,,5,,
9999,56610,m0n-t3rs,,5,,
9999,56611,perfectsymphony,,5,,
9999,56617,lynx,,5,,
9999,56619,chamypl,,5,,
9999,56701,desempregueidos,,5,,
9999,56737,virtual-grounds,,5,,
9999,56908,daglovesfatties,,5,,
9999,7383,deathdemonmurderers,,5,,
9999,7403,meet-your-makers,,5,,
9999,8088,kripsing,,5,,
9999,8529,to-be-decided1-cs,,5,,
9999,8530,infected,,5,,
9999,8562,to-be-decided2-cs,,5,,
9999,8797,team-menace-cs,,5,,
9999,8807,litt-up,,5,,
9999,8812,ssrcg,,5,,
9999,8813,xxx-philippines,,5,,
9999,8834,crown-gaming-society,,5,,
9999,8835,since2k,,5,,
9999,8837,xxmlg360xx,,5,,
9999,8872,xbyte,,5,,
9999,8998,burak-bozok,,5,,
9999,9059,team-denmark,,5,,
9999,9060,team-latvia,,5,,
9999,9067,team-germany,,5,,
9999,9070,team-sweden,,5,,
9999,9073,team-czech-republic,,5,,
9999,9083,team-poland,,5,,
9999,9097,vitality-gaming,,5,,
9999,9102,nothing-to-lose,,5,,
9999,9106,invasion-e-sports,,5,,
9999,9111,ancient-warriors,,5,,
9999,9141,five-kings,,5,,
9999,9165,awpersunite,,5,,
9999,9166,rurogrande-multigaming,,5,,
9999,9175,xpire-gaming,,5,,
9999,9179,power-plant,,5,,
9999,9187,hiad,,5,,
9999,9190,beecroft,,5,,
9999,9207,mygamept,,5,,
9999,9210,the-pros,,5,,
9999,9211,team-degenx,,5,,
9999,9213,grindtime-gaming,,5,,
9999,9221,opera-es-especiais-portugal,,5,,
9999,9222,electronic-grizzly,,5,,
9999,9225,thefrozenbears,,5,,
9999,9233,nover-gamers,,5,,
9999,9234,reload-skills,,5,,
9999,9250,mbitious,,5,,
9999,9267,dakury,,5,,
9999,9276,onsomeshit,,5,,
9999,9278,aaaaaatttttt,,5,,
9999,9282,team-exordium,,5,,
9999,9286,whisper-netcs,,5,,
9999,9291,macbayt-5,,5,,
9999,9292,vipers,,5,,
9999,9293,red-horse-extra-large-face-rapers,,5,,
9999,9299,dike,,5,,
9999,9302,team-eagle,,5,,
9999,9305,e4us,,5,,
9999,9315,infrag-esports,,5,,
9999,9320,loosersplayinggood,,5,,
9999,9321,testteam2123,,5,,
9999,9328,faroe-islands,,5,,
9999,9358,xtreme-camping,,5,,
9999,9363,major-league-citrus,,5,,
9999,9366,owngamers,,5,,
9999,9370,figureeight,,5,,
9999,9414,swarmrobotics,,5,,
9999,9433,team-foxtrot,,5,,
9999,9439,vietnam-new-team-cs-go,,5,,
9999,9440,virtual-gaming-style,,5,,
9999,9446,bloody-wolves,,5,,
9999,9448,the3n19ma,,5,,
9999,9451,norwegiannoobs,,5,,
9999,9454,teamhomehero,,5,,
9999,9455,prankzters-trickzters,,5,,
9999,9457,crunch-cs,,5,,
9999,9462,some-luck,,5,,
9999,9467,team-skull,,5,,
9999,9476,russianunionone,,5,,
9999,9480,komitet-powitalny,,5,,
9999,9484,mydesire-esports,,5,,
9999,9507,psycho-tuga,,5,,
9999,9541,beg-n-gam-ng,,5,,
9999,9553,kvabot,,5,,
9999,9556,team-omicron,,5,,
9999,9557,task-force-alpha-official,,5,,
9999,9565,uturnsquad,,5,,
9999,9566,r-volution-digital,,5,,
9999,9572,byn,,5,,
9999,9573,1st-helix-regiment,,5,,
9999,9574,hullut-idiootit,,5,,
9999,9596,exabyte,,5,,
9999,9598,gv-gravity,,5,,
9999,9599,team-london-lions-gaming,,5,,
9999,9600,bitr,,5,,
9999,9601,eco-fans,,5,,
9999,9602,teamrimcross,,5,,
9999,9603,austin,,5,,
9999,9619,fantasyfive,,5,,
9999,9620,lizards-portuguese-clan,,5,,
9999,9634,proofgangers,,5,,
9999,9658,proofgruq,,5,,
9999,9675,optimum-pro,,5,,
9999,9680,team-plane,,5,,
9999,9684,neter-line,,5,,
9999,9687,patacute-s-gaming,,5,,
9999,9688,kl1k,,5,,
9999,9690,weaponmasters,,5,,
9999,9694,cycol-esports,,5,,
9999,9695,gucci-and-the-hardly-boys,,5,,
9999,9697,wicked-eagles,,5,,
9999,9702,to-be-decided3-cs,,5,,
9999,9730,holored,,5,,
9999,9731,dreamfrags,,5,,
9999,9754,shadowstep,,5,,
9999,9756,nova-killers,,5,,
9999,9822,maximum-randomized-terror,,5,,
9999,9874,nordic-tigers,,5,,
9999,9879,the-death-egg,,5,,
9999,9939,cloudburst,,5,,
9999,9964,spliffit-danish,,5,,
9999,10020,mysticgaming,,5,,
9999,10058,jlkkl,,5,,
9999,10092,turkeynecks,,5,,
9999,10182,cky,,5,,
9999,10188,hectic-gaming,,5,,
9999,10214,xi-geforce-esports,,5,,
9999,10215,silm-l-k-rit-cs,,5,,
