rank,team,points,slug_x,hltv_id,slug,tier
251,Straight2Killin,473,Straight2Killin,,,5
252,VELOX,473,VELOX,,,5
253,Galorys,470,Galorys,,,5
254,NITRO,468,NITRO,,,5
255,Insilio,466,Insilio,,,5
256,WOPA,450,WOPA,12787,wopa,5
257,POWERmix,410,POWERmix,,,5
258,Steel Helmet,407,Steel_Helmet,,,5
259,Nordix,406,Nordix,,,5
260,Lazer Cats,405,Lazer_Cats,,,5
261,Aether,401,Aether,,,5
262,Familia Maquininha,399,Familia_Maquininha,,,5
263,Virtual Cottage,394,Virtual_Cottage,,,5
264,2070,392,2070,,,5
147,alter ego,500,alter_ego,9958,alter-ego,5
112,eternal fire,500,eternal_fire,11251,eternal-fire,5
107,fish132,500,fish_123,6298,fish123,5
178,rustec,500,rustec,12834,rustec,5
181,masonic,500,masonic,10867,masonic,5
166,volt,500,volt,13090,volt,5
143,genone,500,genone,11609,genone,5
142,G2 Ares,500,g2_ares,12889,g2-ares,5
90,aab,500,aab,9621,aab,4
83,vp.prodigy,500,vpprodigy,10864,vpprodigy,4
200,ww,500,ww,12967,ww,5
135,phantom,500,phantom,13173,phantom,5
200,aurora young blud,500,aurora_young_blud,12366,aurora-young-blud,5
96,mana,500,mana,13310,mana,4
121,FUT,500,fut,13286,FUT,5
123,bushido,500,bushido,13281,bushido-wildcats,5
208,glitchtech,500,glitchtech,13285,glitchtech,5
214,quazar,500,quazar,11312,quazar,5
263,twenty seven,500,twenty seven,13236,twenty seven,5
223,xp academy,500,xp academy,13287,xp-academy,5
